Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0310.b3.txt,1741.62,707.28,789.04,551.92,46,46,46
0103.b3.txt,1861.34,584.03,571.43,256.3,66,66,66
1533.b3.txt,1685.44,897.02,711.99,345.94,30,30,30
1097.b3.txt,1600.58,826.89,899.42,517.41,22,22,22
0165.b3.txt,1733.25,656.98,610.76,257.51,55,55,55
0171.b3.txt,1591.76,774.03,855.18,324.59,33,33,33
0122.b3.txt,1396.53,784.91,637.1,265.04,30,30,30
0307.b3.txt,1584.97,724.4,729.85,234.2,45,45,45
0139.b3.txt,1933.41,870.33,782.71,373.83,21,21,21
0200.b3.txt,1730.4,803.63,855.48,434.22,14,14,14
2018.b3.txt,1710.98,1034.68,653.18,306.36,25,25,25
1102.b3.txt,1622.81,716.37,884.5,438.6,17,17,17
1520.b3.txt,1203.24,806.67,473.19,301.94,45,45,45
0313.b3.txt,1666.67,563.49,801.59,289.68,28,28,28
2034.b3.txt,1401.67,1108.79,606.69,402.72,26,26,26
1100.b3.txt,1557.79,717.88,581.48,294.33,24,24,24
1057.b3.txt,1798.9,935.77,645.16,369.08,40,40,40
0140.b3.txt,2619.25,686.19,661.09,276.15,10,10,10
1069.b3.txt,1521.99,712.61,636.36,398.83,35,35,35
1508.b3.txt,1548.51,867.54,611.01,312.5,35,35,35
1066.b3.txt,1673.68,910.53,952.63,426.32,16,16,16
0303.b3.txt,1516.48,703.3,791.21,417.58,4,4,4
0304.b3.txt,1571.43,821.43,678.57,428.57,20,20,20
1536.b3.txt,1790.09,761.85,665.96,458.18,22,22,22
1023.b3.txt,1253.18,699.75,763.36,432.57,18,18,18
1112.b3.txt,1553.24,880.7,776.62,432.35,21,21,21
0308.b3.txt,1751.73,907.37,812.85,680.53,9,9,9
1532.b3.txt,1635.49,848.92,633.09,378.9,40,40,40
0130.b3.txt,1540.82,780.61,673.47,433.67,35,35,35
1082.b3.txt,2047.22,685.64,895.86,320.18,37,37,37
0134.b3.txt,1562.86,945.79,738.18,824.68,17,17,17
1534.b3.txt,1598.03,796.78,966.88,523.72,27,27,27
0133.b3.txt,1433.74,755.31,524.65,352.78,48,48,48
0300.b3.txt,1549.09,843.61,843.61,281.2,36,36,36
0105.b3.txt,1332.22,832.64,749.38,383.01,16,16,16
